iter	Passed	Remaining
0	485	484808
1	487	243408
2	489	162646
3	491	122263
4	492	97914
5	493	81685
6	494	70108
7	495	61498
8	496	54720
9	497	49282
10	498	44859
11	499	41164
12	500	38036
13	502	35365
14	503	33036
15	504	31012
16	505	29207
17	505	27600
18	506	26157
19	507	24854
20	508	23690
21	509	22629
22	509	21654
23	510	20768
24	511	19946
25	512	19189
26	513	18494
27	514	17843
28	514	17236
29	515	16673
30	516	16146
31	518	15677
32	519	15229
33	520	14793
34	521	14377
35	522	13995
36	523	13633
37	525	13291
38	526	12968
39	527	12656
40	528	12358
41	529	12070
42	530	11801
43	531	11544
44	532	11295
45	533	11054
46	533	10823
47	534	10601
48	535	10390
49	536	10187
50	536	9989
51	538	9808
52	540	9649
53	541	9481
54	541	9311
55	543	9154
56	543	8996
57	544	8846
58	545	8700
59	546	8557
60	547	8423
61	548	8292
62	548	8163
63	549	8039
64	550	7917
65	551	7802
66	552	7693
67	553	7582
68	554	7477
69	554	7372
70	555	7274
71	556	7175
72	557	7077
73	558	6983
74	558	6891
75	559	6801
76	560	6714
77	560	6629
78	561	6546
79	562	6465
80	562	6387
81	563	6309
82	564	6234
83	565	6162
84	565	6090
85	566	6025
86	567	5958
87	568	5892
88	569	5827
89	570	5763
90	570	5701
91	571	5641
92	572	5581
93	573	5524
94	573	5467
95	574	5411
96	575	5356
97	576	5304
98	577	5252
99	577	5200
100	578	5149
101	578	5097
102	579	5048
103	580	5004
104	582	4961
105	582	4916
106	583	4870
107	584	4826
108	585	4782
109	585	4738
110	586	4696
111	587	4655
112	587	4613
113	588	4573
114	589	4534
115	589	4494
116	590	4456
117	591	4419
118	591	4381
119	592	4345
120	593	4309
121	593	4274
122	594	4237
123	595	4206
124	596	4175
125	597	4143
126	598	4110
127	598	4076
128	599	4046
129	600	4015
130	600	3984
131	601	3954
132	602	3925
133	602	3895
134	603	3866
135	604	3838
136	604	3810
137	605	3781
138	606	3755
139	606	3728
140	607	3702
141	608	3676
142	610	3657
143	611	3635
144	612	3611
145	613	3587
146	614	3564
147	615	3540
148	615	3516
149	616	3493
150	617	3470
151	617	3447
152	618	3425
153	619	3403
154	620	3381
155	620	3359
156	621	3337
157	622	3316
158	623	3295
159	623	3275
160	625	3258
161	626	3240
162	627	3220
163	628	3202
164	629	3183
165	630	3165
166	630	3147
167	631	3128
168	632	3110
169	633	3092
170	634	3075
171	635	3058
172	636	3041
173	637	3025
174	638	3008
175	639	2994
176	640	2979
177	641	2963
178	642	2947
179	643	2931
180	643	2913
181	644	2896
182	645	2880
183	645	2864
184	646	2849
185	647	2833
186	648	2818
187	648	2802
188	649	2787
189	650	2772
190	651	2758
191	651	2743
192	652	2729
193	653	2716
194	655	2704
195	655	2690
196	656	2676
197	657	2662
198	658	2648
199	658	2634
200	659	2621
201	660	2607
202	660	2594
203	661	2581
204	662	2568
205	663	2555
206	663	2543
207	664	2530
208	665	2518
209	666	2505
210	666	2493
211	667	2481
212	668	2471
213	670	2460
214	670	2449
215	671	2437
216	672	2426
217	673	2414
218	673	2402
219	674	2391
220	675	2380
221	675	2368
222	676	2357
223	677	2346
224	678	2336
225	679	2325
226	679	2314
227	680	2303
228	681	2293
229	681	2282
230	682	2272
231	683	2263
232	684	2253
233	685	2243
234	686	2233
235	686	2223
236	687	2213
237	688	2203
238	689	2194
239	689	2184
240	690	2174
241	691	2164
242	691	2155
243	692	2146
244	693	2136
245	694	2127
246	694	2117
247	695	2108
248	696	2099
249	696	2090
250	697	2082
251	698	2074
252	699	2066
253	700	2057
254	701	2048
255	701	2039
256	702	2030
257	703	2022
258	703	2013
259	704	2004
260	705	1996
261	705	1988
262	706	1980
263	707	1973
264	708	1965
265	709	1957
266	710	1949
267	710	1941
268	711	1933
269	712	1926
270	713	1919
271	714	1912
272	715	1905
273	716	1897
274	716	1889
275	717	1882
276	718	1874
277	718	1867
278	719	1860
279	720	1852
280	721	1845
281	722	1838
282	722	1831
283	723	1824
284	724	1817
285	725	1810
286	725	1802
287	726	1795
288	727	1790
289	728	1784
290	729	1777
291	730	1770
292	730	1763
293	731	1756
294	732	1750
295	733	1744
296	734	1737
297	734	1731
298	735	1724
299	736	1718
300	737	1711
301	737	1705
302	738	1698
303	739	1692
304	739	1685
305	740	1679
306	741	1673
307	742	1668
308	743	1663
309	744	1657
310	745	1650
311	745	1644
312	746	1638
313	747	1632
314	748	1626
315	748	1620
316	749	1615
317	750	1609
318	751	1603
319	751	1597
320	752	1591
321	753	1586
322	753	1580
323	754	1574
324	755	1569
325	756	1563
326	757	1559
327	758	1554
328	759	1548
329	760	1543
330	760	1538
331	761	1532
332	762	1526
333	763	1521
334	763	1516
335	764	1510
336	765	1505
337	765	1500
338	766	1495
339	767	1489
340	768	1484
341	768	1479
342	769	1474
343	770	1468
344	771	1464
345	772	1460
346	773	1455
347	774	1450
348	774	1445
349	775	1440
350	776	1435
351	777	1430
352	777	1425
353	778	1420
354	779	1415
355	779	1410
356	780	1405
357	781	1400
358	781	1396
359	782	1391
360	783	1386
361	783	1381
362	784	1377
363	785	1372
364	787	1369
365	788	1365
366	788	1360
367	789	1355
368	790	1351
369	790	1346
370	791	1342
371	792	1337
372	793	1333
373	793	1328
374	794	1324
375	795	1320
376	796	1315
377	796	1311
378	797	1306
379	798	1302
380	799	1298
381	799	1293
382	801	1290
383	802	1286
384	803	1282
385	803	1278
386	804	1274
387	805	1270
388	806	1266
389	806	1261
390	807	1257
391	808	1253
392	809	1249
393	809	1245
394	810	1241
395	811	1237
396	811	1233
397	812	1229
398	813	1225
399	814	1221
400	815	1218
401	816	1215
402	817	1211
403	818	1207
404	819	1203
405	819	1199
406	820	1195
407	821	1191
408	821	1187
409	822	1183
410	823	1179
411	824	1176
412	824	1172
413	825	1168
414	826	1164
415	827	1161
416	828	1157
417	830	1155
418	832	1153
419	833	1150
420	834	1147
421	835	1144
422	836	1141
423	837	1138
