iter	Passed	Remaining
0	255	255366
1	256	128196
2	259	86124
3	260	64747
4	260	51917
5	261	43385
6	263	37313
7	264	32755
8	264	29177
9	265	26320
10	266	23995
11	267	22062
12	268	20413
13	270	19016
14	270	17788
15	275	16943
16	276	15976
17	277	15122
18	277	14344
19	278	13643
20	279	13010
21	279	12432
22	280	11906
23	280	11422
24	281	10978
25	282	10567
26	282	10187
27	283	9834
28	283	9504
29	284	9197
30	285	8911
31	286	8658
32	288	8452
33	289	8217
34	290	7997
35	290	7787
36	291	7586
37	292	7397
38	292	7216
39	293	7043
40	294	6880
41	294	6724
42	295	6574
43	296	6432
44	296	6296
45	297	6166
46	297	6042
47	298	5923
48	299	5808
49	300	5704
50	301	5601
51	301	5501
52	302	5404
53	303	5311
54	303	5222
55	304	5136
56	305	5050
57	306	4971
58	306	4895
59	307	4824
60	308	4753
61	314	4758
62	315	4698
63	316	4632
64	317	4568
65	318	4505
66	319	4444
67	319	4385
68	320	4328
69	321	4275
70	322	4222
71	323	4171
72	330	4191
73	331	4143
74	332	4102
75	333	4054
76	334	4006
77	334	3959
78	335	3913
79	336	3868
80	337	3823
81	337	3780
82	338	3734
83	339	3698
84	340	3670
85	341	3632
86	343	3607
87	345	3577
88	345	3540
89	346	3506
90	347	3471
91	348	3436
92	348	3403
93	349	3369
94	350	3337
95	351	3306
96	351	3274
97	352	3245
98	355	3232
99	356	3209
100	358	3190
101	359	3162
102	359	3135
103	360	3107
104	361	3080
105	362	3054
106	362	3028
107	363	3003
108	364	2979
109	365	2954
110	366	2931
111	366	2908
112	367	2887
113	369	2873
114	371	2859
115	373	2847
116	374	2825
117	375	2804
118	375	2782
119	376	2761
120	377	2743
121	378	2722
122	379	2703
123	380	2685
124	381	2667
125	382	2650
126	383	2638
127	385	2628
128	387	2617
129	388	2600
130	389	2582
131	390	2564
132	390	2547
133	391	2530
134	392	2514
135	393	2501
136	394	2485
137	395	2469
138	396	2458
139	398	2447
140	399	2436
141	401	2426
142	402	2412
143	403	2397
144	404	2382
145	404	2367
146	405	2353
147	406	2339
148	407	2324
149	407	2311
150	408	2297
151	409	2283
152	410	2270
153	412	2265
154	414	2257
155	415	2250
156	416	2237
157	417	2224
158	418	2212
159	418	2199
160	419	2185
161	420	2176
162	421	2165
163	422	2153
164	423	2141
165	423	2129
166	424	2117
167	425	2105
168	427	2100
169	428	2092
170	430	2086
171	431	2076
172	432	2065
173	432	2055
174	434	2046
175	434	2035
176	435	2026
177	436	2016
178	437	2006
179	438	1997
180	439	1987
181	441	1984
182	443	1978
183	444	1972
184	445	1963
185	446	1953
186	447	1944
187	448	1935
188	448	1926
189	449	1916
190	450	1908
191	451	1899
192	452	1890
193	453	1882
194	454	1875
195	456	1871
196	458	1867
197	458	1858
198	459	1850
199	460	1842
200	461	1833
201	462	1825
202	462	1817
203	463	1809
204	464	1801
205	465	1793
206	466	1786
207	467	1781
208	470	1780
209	471	1773
210	472	1767
211	473	1760
212	476	1761
213	477	1754
214	478	1748
215	479	1741
216	480	1734
217	482	1729
218	483	1724
219	485	1721
220	486	1715
221	487	1708
222	488	1701
223	489	1694
224	489	1687
225	490	1681
226	491	1674
227	492	1667
228	493	1661
229	494	1655
230	495	1650
231	497	1645
232	497	1638
233	498	1632
234	499	1627
235	502	1625
236	503	1620
237	504	1613
238	504	1607
239	505	1600
240	506	1594
241	507	1588
242	507	1582
243	508	1576
244	512	1578
245	513	1574
246	515	1572
247	516	1566
248	517	1560
249	518	1554
250	518	1548
251	519	1542
252	520	1537
253	521	1531
254	522	1525
255	522	1519
256	523	1513
257	525	1510
258	526	1507
259	529	1506
260	530	1500
261	530	1495
262	531	1489
263	532	1484
264	533	1478
265	533	1473
266	536	1473
267	538	1470
268	540	1468
269	541	1463
270	542	1458
271	542	1452
272	543	1447
273	544	1441
274	544	1436
275	545	1431
276	546	1426
277	547	1421
278	547	1416
279	548	1411
280	551	1411
281	553	1408
282	555	1406
283	556	1401
284	556	1396
285	557	1391
286	558	1386
287	559	1382
288	559	1377
289	560	1372
290	561	1367
291	562	1362
292	563	1358
293	564	1354
294	566	1353
295	567	1349
296	570	1349
297	570	1344
298	571	1340
299	572	1335
300	573	1330
301	573	1326
302	574	1322
303	575	1318
304	576	1313
305	577	1309
306	580	1310
307	582	1309
308	584	1307
309	585	1303
310	586	1299
311	587	1294
312	587	1290
313	588	1286
314	590	1283
315	591	1279
316	591	1275
317	593	1271
318	594	1270
319	596	1267
320	598	1266
321	599	1262
322	600	1259
323	601	1255
324	602	1251
325	603	1247
326	604	1244
327	605	1240
328	606	1236
329	606	1231
330	609	1231
331	610	1228
332	612	1227
333	613	1223
334	614	1219
335	615	1216
336	616	1212
337	616	1208
338	617	1204
339	618	1200
340	619	1197
341	620	1193
342	620	1189
343	621	1185
344	623	1184
345	624	1180
346	627	1181
347	629	1178
348	630	1175
349	630	1171
350	631	1168
351	632	1164
352	633	1161
353	634	1157
354	635	1154
355	636	1150
356	638	1149
357	639	1146
358	643	1148
359	644	1145
360	644	1141
361	645	1138
362	646	1134
363	647	1131
364	648	1127
365	649	1124
366	649	1120
367	652	1120
368	653	1117
369	654	1114
370	656	1112
371	658	1110
372	658	1107
373	659	1104
374	660	1100
375	661	1097
376	662	1094
377	663	1091
378	664	1088
379	666	1087
380	668	1085
381	670	1084
382	671	1081
383	672	1078
384	673	1075
385	673	1071
386	674	1068
387	675	1065
388	676	1061
389	676	1058
390	677	1055
391	678	1051
392	678	1048
393	681	1048
394	683	1046
395	685	1044
396	685	1041
397	686	1038
398	687	1035
399	688	1032
400	689	1029
401	689	1026
402	690	1023
403	691	1020
404	692	1016
405	692	1013
406	693	1010
407	695	1008
408	696	1006
409	698	1005
410	700	1003
411	701	1000
412	701	997
413	702	994
414	703	991
415	703	988
416	704	985
417	705	982
418	706	979
419	706	976
420	707	973
421	710	973
422	711	970
423	714	970
424	715	967
425	716	965
426	716	962
427	717	959
428	718	956
429	719	953
430	720	950
431	720	947
432	721	944
433	722	942
434	724	941
435	725	938
436	728	938
437	729	936
438	730	933
439	731	930
440	731	927
441	732	924
442	733	922
443	734	919
444	734	916
445	735	913
446	736	911
447	738	910
448	740	908
449	741	906
450	743	904
451	744	902
452	745	899
453	746	897
454	747	894
455	747	892
456	748	889
457	749	887
458	750	884
459	753	884
460	755	883
461	757	881
462	758	879
463	758	876
464	759	874
465	760	871
466	761	869
467	762	866
468	763	863
469	763	861
470	764	858
471	765	856
472	767	855
473	769	853
474	770	851
475	771	849
476	772	847
477	773	844
478	774	842
479	775	839
480	776	837
481	777	835
482	777	832
483	778	830
484	779	827
485	782	828
486	786	827
487	786	825
488	787	823
489	788	820
490	789	818
491	791	816
492	792	814
493	792	812
494	793	809
495	794	807
496	795	804
497	797	804
498	800	803
499	801	801
500	801	798
501	802	796
502	803	794
503	804	791
504	805	789
505	806	787
506	807	784
507	808	782
508	809	780
509	812	780
510	813	778
511	815	777
512	816	774
513	816	772
514	817	770
515	818	768
516	819	765
517	820	763
518	821	761
519	822	759
520	822	756
521	823	754
522	826	753
523	827	751
524	829	750
525	830	748
526	831	745
527	831	743
528	832	741
529	833	739
530	834	736
531	835	734
532	835	732
533	836	729
534	837	727
535	837	725
536	838	723
537	841	722
538	842	720
539	845	720
540	846	718
541	847	716
542	848	713
543	848	711
544	849	709
545	850	706
546	850	704
547	851	702
548	852	700
549	853	698
550	855	696
551	856	694
552	857	693
553	859	692
554	860	690
555	861	688
556	862	685
557	863	683
558	863	681
559	864	679
560	865	677
561	866	675
562	868	674
563	869	672
564	873	672
565	874	670
566	874	668
567	875	665
568	876	664
569	878	662
570	878	660
571	879	658
572	880	655
573	880	653
574	883	653
575	884	651
576	887	650
577	888	648
578	889	646
579	889	644
580	890	642
581	891	640
582	892	638
583	893	636
584	893	634
585	894	632
586	897	631
587	900	630
588	902	629
589	903	627
590	904	625
591	904	623
592	905	621
593	906	619
594	907	617
595	908	615
596	908	613
597	909	611
598	912	610
599	913	608
600	916	608
601	917	606
602	918	604
603	918	602
604	920	600
605	921	598
606	921	596
607	922	594
608	923	592
609	923	590
610	924	588
611	927	587
612	930	587
613	931	585
614	932	583
615	933	581
616	933	579
617	934	577
618	935	575
619	935	573
620	936	571
621	937	569
622	938	567
623	938	565
624	941	564
625	941	562
626	943	561
627	943	559
628	944	557
629	945	555
630	945	553
631	946	551
632	947	549
633	948	547
634	948	545
635	950	543
636	950	541
637	951	540
638	954	539
639	956	537
640	957	536
641	957	534
642	958	532
643	959	530
644	960	528
645	961	526
646	962	525
647	963	523
648	965	522
649	966	520
650	967	518
651	968	516
652	969	515
653	970	513
654	971	511
655	972	509
656	973	508
657	973	506
658	974	504
659	975	502
660	976	500
661	977	498
662	977	497
663	978	495
664	979	493
665	980	491
666	981	490
667	982	488
668	983	486
669	984	484
670	985	483
671	986	481
672	987	479
673	988	478
674	989	476
675	990	474
676	991	472
677	992	471
678	993	469
679	994	468
680	995	466
681	996	464
682	996	462
